sale_price,lot_area,finished_living_area,bedrooms
210000,12000,1683,4
209900,7200,1426,4
209000,12551,1573,4
209000,10184,1726,3
208500,10828,1052,3
208000,9600,1266,2
207500,6000,1441,3
207500,8472,1528,3
207000,12735,1464,3
206900,8344,1654,3
206500,8070,1578,3
206000,8903,1194,2
206000,7705,1040,2
205500,8393,1710,5
205000,15360,884,2
205000,9579,2037,3
205000,9286,2549,5
205000,5310,1627,2
205000,7785,912,3
205000,6000,1196,3
205000,6336,1101,2
205000,9720,1799,3
205000,8400,913,5
205000,17280,1300,3
204300,6420,1920,5
204000,7200,1072,2
204000,10800,1518,3
202550,7200,1242,3
201750,6130,970,3
201000,9000,1128,2
200000,7800,1566,1
200000,10922,1082,3
200000,7400,1518,3
200000,6821,1298,2
200000,9840,1051,3
200000,10800,2288,5
200000,6390,1360,3
200000,9488,1086,3
200000,11767,1363,2
199500,10289,1909,4
199000,7200,875,3
199000,12240,2783,2
199000,9758,950,3
198000,10410,1656,3
198000,6984,1460,4
198000,6196,1246,2
198000,11160,1720,4
197000,21750,2254,3
196000,6600,983,3
195500,8308,1126,3
195000,7000,864,3
195000,8400,892,3
195000,6288,1147,3
195000,10950,1404,2
194900,7200,1535,3
194000,5000,1466,3
194000,10235,967,3
193000,7200,1296,2
192500,6900,1003,3
191500,14299,1748,4
190500,8460,1560,3
190000,11340,1555,4
190000,11854,2145,4
190000,10776,1726,3
190000,7200,1687,4
189900,11340,2276,4
188000,6240,1290,3
188000,12870,1741,7
188000,6600,816,3
187500,9600,1780,2
186820,8405,1367,5
185000,9600,1164,4
185000,9750,1045,2
185000,7587,1590,4
185000,8400,1675,4
185000,7638,1248,2
185000,7475,882,3
185000,6900,797,4
184000,8865,1532,3
184000,8892,968,3
180000,8635,1127,2
180000,10410,1508,3
180000,11050,1448,4
180000,9600,870,2
180000,7000,1310,2
180000,12130,876,3
180000,8777,1126,2
180000,11100,720,2
180000,9132,1421,4
180000,9836,1229,3
179900,8631,864,2
179500,5000,1387,3
178000,10200,1507,4
178000,7150,1540,4
175000,8250,1465,2
175000,9360,0,0
175000,10244,0,0
175000,4950,1303,3
175000,10307,1944,4
174500,8800,1035,2
173000,9137,1704,4
172000,6137,1162,3
171500,5470,792,3
170000,9225,1274,3
169900,7383,864,3
169000,7200,875,3
169000,10295,936,2
168000,6000,936,2
168000,8450,960,4
167500,8750,1235,3
166900,9489,1951,3
165500,7200,1412,2
165500,10152,1328,2
165000,10410,2013,3
165000,9060,1106,2
165000,10266,1734,5
165000,8330,977,3
165000,6120,1046,2
164685,5400,1920,5
162500,11209,1139,3
161000,14144,1012,3
160700,12375,1422,3
160000,8960,1028,2
160000,5852,2333,6
160000,13200,2917,4
159900,12778,1156,3
159500,5586,1198,2
158900,5100,958,2
158000,9265,1032,2
157295,8864,1482,4
155000,11820,843,2
155000,6521,816,2
155000,10800,1610,3
154902,9801,1184,3
154900,10720,1671,4
153000,12420,892,3
150300,9780,1048,4
150000,5299,1359,3
150000,9990,1214,3
150000,12450,1094,3
150000,19488,3193,4
150000,7348,1390,2
150000,12840,1988,4
150000,9177,1621,2
150000,4526,780,3
150000,10110,1446,2
150000,520106,0,0
148000,8680,1296,3
147500,7260,770,2
145000,8125,925,2
145000,5075,888,3
145000,5925,968,2
142500,8405,1184,3
140000,6587,1820,4
140000,8910,1651,4
139000,8872,1559,3
139000,7560,0,0
139000,7440,0,0
138000,8943,1074,3
135000,7936,864,3
135000,12144,996,3
134000,5914,1080,1
134000,7200,653,2
132000,8534,732,2
130795,23565,0,0
130000,3900,2032,4
130000,10800,743,2
129000,8405,1009,3
125000,101059,1836,3
124000,4565,873,2
120000,3960,1072,3
115885,8405,882,2
115000,5040,894,2
115000,8400,841,2
113000,3500,680,2
108000,31108,0,0
105000,5688,708,2
104000,5280,1361,2
100000,79383,0,0
97000,7200,729,1
96000,6850,1392,3
95000,87414,0,0
90000,9312,1084,2
90000,14959,0,0
88000,11711,2951,4
88000,13413,0,0
86500,9600,1680,3
85000,9891,3104,4
85000,7800,816,1
84000,9394,0,0
84000,10800,0,0
84000,8840,0,0
83000,8911,0,0
82000,10720,0,0
82000,8112,0,0
82000,13333,0,0
81000,11391,0,0
80000,5000,672,1
78000,10800,0,0
75000,12428,3374,5
71500,16630,1020,3
70500,6000,1510,3
70000,28262,0,0
68500,10800,999,2
65000,7800,0,0
60000,9800,0,0
60000,9800,0,0
60000,9800,0,0
60000,9178,0,0
60000,9302,0,0
60000,12854,0,0
60000,10790,0,0
60000,10790,0,0
60000,9426,0,0
60000,9426,0,0
60000,9426,0,0
40000,10152,1178,3
30000,7440,0,0
25000,7200,913,2
7300,0,0,0
5000,74355,0,0
5000,3902,0,0
5000,2520,0,0
5000,13544,0,0
4800,0,0,0
2455,9558,1616,3
900,10400,2836,5
610,8280,1233,3
0,6138,0,0
0,63887,13040,5
0,11023,2665,3
0,8816,1131,2
0,10521,1764,3
0,9782,2128,3
0,11358,1610,3
0,10055,2328,3
0,13678,1674,3
0,19652,0,0
0,0,2485,4
0,0,944,2
0,6620,1095,2
0,14601,3102,4
0,11105,2910,4
0,8050,1176,2
0,18215,3650,4
0,6199,2458,6
0,11645,1376,3
0,9520,3091,5
0,8533,827,3
0,95325,4016,4
0,9159,2164,4
0,7290,2559,8
0,9165,925,4
0,10939,2468,4
0,10000,1970,3
0,6060,1117,3
0,9428,2603,4
0,8800,2132,5
0,11498,2829,4
0,9098,2370,4
0,10140,1858,5
0,12457,2006,3
0,14123,1874,4
0,13184,1965,3
0,9477,2535,4
0,12341,2021,4
0,15600,2552,5
0,11362,2876,4
0,9645,2265,3
0,9886,1179,4
